"","ID","NPGS site","variable","emission","year","value"
"123",1,"Oregon, Corvallis","bioc_8","SSP370","2041-2060",6.40999999046326
"124",1,"Oregon, Corvallis","bioc_9","SSP370","2041-2060",21.939999961853
"125",1,"Oregon, Corvallis","bioc_10","SSP370","2041-2060",21.2799997329712
"126",1,"Oregon, Corvallis","bioc_11","SSP370","2041-2060",7.02000002861023
"127",1,"Oregon, Corvallis","bioc_13","SSP370","2041-2060",210.4
"128",1,"Oregon, Corvallis","bioc_14","SSP370","2041-2060",13.3
"129",1,"Oregon, Corvallis","bioc_16","SSP370","2041-2060",571.7
"130",1,"Oregon, Corvallis","bioc_17","SSP370","2041-2060",61.5
"131",1,"Oregon, Corvallis","bioc_18","SSP370","2041-2060",63.6
"132",1,"Oregon, Corvallis","bioc_19","SSP370","2041-2060",541.4
"133",1,"Oregon, Corvallis","bioc_5","SSP370","2061-2080",32.1299997329712
"134",1,"Oregon, Corvallis","bioc_6","SSP370","2061-2080",3.88999998569489
"135",1,"Oregon, Corvallis","bioc_8","SSP370","2061-2080",7.35999994277954
"136",1,"Oregon, Corvallis","bioc_9","SSP370","2061-2080",23.1700002670288
"137",1,"Oregon, Corvallis","bioc_10","SSP370","2061-2080",22.5199998855591
"138",1,"Oregon, Corvallis","bioc_11","SSP370","2061-2080",7.88999991416931
"139",1,"Oregon, Corvallis","bioc_13","SSP370","2061-2080",211.6
"140",1,"Oregon, Corvallis","bioc_14","SSP370","2061-2080",13
"141",1,"Oregon, Corvallis","bioc_16","SSP370","2061-2080",575.3
"142",1,"Oregon, Corvallis","bioc_17","SSP370","2061-2080",60.7
"143",1,"Oregon, Corvallis","bioc_18","SSP370","2061-2080",62.3
"144",1,"Oregon, Corvallis","bioc_19","SSP370","2061-2080",552
"145",1,"Oregon, Corvallis","bioc_5","SSP370","2081-2100",33.510000038147
"146",1,"Oregon, Corvallis","bioc_6","SSP370","2081-2100",4.57999999523163
"147",1,"Oregon, Corvallis","bioc_8","SSP370","2081-2100",8.12000007629394
"148",1,"Oregon, Corvallis","bioc_9","SSP370","2081-2100",24.4299999237061
"149",1,"Oregon, Corvallis","bioc_10","SSP370","2081-2100",23.8800001144409
"150",1,"Oregon, Corvallis","bioc_11","SSP370","2081-2100",8.65
"151",1,"Oregon, Corvallis","bioc_13","SSP370","2081-2100",213.4
"152",1,"Oregon, Corvallis","bioc_14","SSP370","2081-2100",13
"153",1,"Oregon, Corvallis","bioc_16","SSP370","2081-2100",579.7
"154",1,"Oregon, Corvallis","bioc_17","SSP370","2081-2100",59.3
"155",1,"Oregon, Corvallis","bioc_18","SSP370","2081-2100",63.3
"156",1,"Oregon, Corvallis","bioc_19","SSP370","2081-2100",552.4
"157",1,"Oregon, Corvallis","bioc_5","SSP585","2021-2040",29.9800003051758
"158",1,"Oregon, Corvallis","bioc_6","SSP585","2021-2040",2.42999997138977
"159",1,"Oregon, Corvallis","bioc_8","SSP585","2021-2040",5.9300000667572
"160",1,"Oregon, Corvallis","bioc_9","SSP585","2021-2040",21.2300003051758
"161",1,"Oregon, Corvallis","bioc_10","SSP585","2021-2040",20.4699998855591
"162",1,"Oregon, Corvallis","bioc_11","SSP585","2021-2040",6.50999999046326
"163",1,"Oregon, Corvallis","bioc_13","SSP585","2021-2040",203.9
"164",1,"Oregon, Corvallis","bioc_14","SSP585","2021-2040",13.6
"165",1,"Oregon, Corvallis","bioc_16","SSP585","2021-2040",562.3
"166",1,"Oregon, Corvallis","bioc_17","SSP585","2021-2040",63.3
"167",1,"Oregon, Corvallis","bioc_18","SSP585","2021-2040",64.8
"168",1,"Oregon, Corvallis","bioc_19","SSP585","2021-2040",532.8
"169",1,"Oregon, Corvallis","bioc_5","SSP585","2041-2060",31.2700000762939
"170",1,"Oregon, Corvallis","bioc_6","SSP585","2041-2060",3.38000001907349
"171",1,"Oregon, Corvallis","bioc_8","SSP585","2041-2060",6.97000002861023
"172",1,"Oregon, Corvallis","bioc_9","SSP585","2041-2060",22.3399997711182
"173",1,"Oregon, Corvallis","bioc_10","SSP585","2041-2060",21.6599998474121
"174",1,"Oregon, Corvallis","bioc_11","SSP585","2041-2060",7.43999996185303
"175",1,"Oregon, Corvallis","bioc_13","SSP585","2041-2060",212
"176",1,"Oregon, Corvallis","bioc_14","SSP585","2041-2060",13.4
"177",1,"Oregon, Corvallis","bioc_16","SSP585","2041-2060",573
"178",1,"Oregon, Corvallis","bioc_17","SSP585","2041-2060",62.4
"179",1,"Oregon, Corvallis","bioc_18","SSP585","2041-2060",63.6
"180",1,"Oregon, Corvallis","bioc_19","SSP585","2041-2060",546.6
"181",1,"Oregon, Corvallis","bioc_5","SSP585","2061-2080",32.8499996185303
"182",1,"Oregon, Corvallis","bioc_6","SSP585","2061-2080",4.22999997138977
"183",1,"Oregon, Corvallis","bioc_8","SSP585","2061-2080",7.75999994277954
"184",1,"Oregon, Corvallis","bioc_9","SSP585","2061-2080",23.8299997329712
"185",1,"Oregon, Corvallis","bioc_10","SSP585","2061-2080",23.2300001144409
"186",1,"Oregon, Corvallis","bioc_11","SSP585","2061-2080",8.25
"187",1,"Oregon, Corvallis","bioc_13","SSP585","2061-2080",209
"188",1,"Oregon, Corvallis","bioc_14","SSP585","2061-2080",13.2
"189",1,"Oregon, Corvallis","bioc_16","SSP585","2061-2080",574
"190",1,"Oregon, Corvallis","bioc_17","SSP585","2061-2080",60.5
"191",1,"Oregon, Corvallis","bioc_18","SSP585","2061-2080",63.1
"192",1,"Oregon, Corvallis","bioc_19","SSP585","2061-2080",547
"193",1,"Oregon, Corvallis","bioc_5","SSP585","2081-2100",34.7600002288818
"194",1,"Oregon, Corvallis","bioc_6","SSP585","2081-2100",5.35000004768372
"195",1,"Oregon, Corvallis","bioc_8","SSP585","2081-2100",8.86000008583069
"196",1,"Oregon, Corvallis","bioc_9","SSP585","2081-2100",25.75
"197",1,"Oregon, Corvallis","bioc_10","SSP585","2081-2100",25.15
"198",1,"Oregon, Corvallis","bioc_11","SSP585","2081-2100",9.44999990463257
"199",1,"Oregon, Corvallis","bioc_13","SSP585","2081-2100",216.5
"200",1,"Oregon, Corvallis","bioc_14","SSP585","2081-2100",12.7
"201",1,"Oregon, Corvallis","bioc_16","SSP585","2081-2100",584.4
"202",1,"Oregon, Corvallis","bioc_17","SSP585","2081-2100",58.9
"203",1,"Oregon, Corvallis","bioc_18","SSP585","2081-2100",63.1
"204",1,"Oregon, Corvallis","bioc_19","SSP585","2081-2100",556.4
"205",2,"Washington, Pullman","bioc_5","historic","1970-2000",28.5880012512207
"206",2,"Washington, Pullman","bioc_6","historic","1970-2000",-4.55999994277954
"207",2,"Washington, Pullman","bioc_8","historic","1970-2000",0.112666636705399
"208",2,"Washington, Pullman","bioc_9","historic","1970-2000",17.4466667175293
"209",2,"Washington, Pullman","bioc_10","historic","1970-2000",17.771333694458
"210",2,"Washington, Pullman","bioc_11","historic","1970-2000",-0.332000106573105
"211",2,"Washington, Pullman","bioc_13","historic","1970-2000",72
"212",2,"Washington, Pullman","bioc_14","historic","1970-2000",22
"213",2,"Washington, Pullman","bioc_16","historic","1970-2000",207
"214",2,"Washington, Pullman","bioc_17","historic","1970-2000",70
"215",2,"Washington, Pullman","bioc_18","historic","1970-2000",83
"216",2,"Washington, Pullman","bioc_19","historic","1970-2000",189
"217",2,"Washington, Pullman","bioc_5","SSP126","2021-2040",31.4200002670288
"218",2,"Washington, Pullman","bioc_6","SSP126","2021-2040",-3.03000000715256
"219",2,"Washington, Pullman","bioc_8","SSP126","2021-2040",0.300000002980232
"220",2,"Washington, Pullman","bioc_9","SSP126","2021-2040",21.7199998855591
"221",2,"Washington, Pullman","bioc_10","SSP126","2021-2040",19.9500001907349
"222",2,"Washington, Pullman","bioc_11","SSP126","2021-2040",1.12000001221895
"223",2,"Washington, Pullman","bioc_13","SSP126","2021-2040",74.5
"224",2,"Washington, Pullman","bioc_14","SSP126","2021-2040",20.5
"225",2,"Washington, Pullman","bioc_16","SSP126","2021-2040",214.4
"226",2,"Washington, Pullman","bioc_17","SSP126","2021-2040",65
"227",2,"Washington, Pullman","bioc_18","SSP126","2021-2040",77.3
"228",2,"Washington, Pullman","bioc_19","SSP126","2021-2040",197
"229",2,"Washington, Pullman","bioc_5","SSP126","2041-2060",32.0299999237061
"230",2,"Washington, Pullman","bioc_6","SSP126","2041-2060",-2.37000003457069
"231",2,"Washington, Pullman","bioc_8","SSP126","2041-2060",0.969999998807907
"232",2,"Washington, Pullman","bioc_9","SSP126","2041-2060",22.3300001144409
"233",2,"Washington, Pullman","bioc_10","SSP126","2041-2060",20.5900003433228
"234",2,"Washington, Pullman","bioc_11","SSP126","2041-2060",1.76000000238419
"235",2,"Washington, Pullman","bioc_13","SSP126","2041-2060",77.1
"236",2,"Washington, Pullman","bioc_14","SSP126","2041-2060",20.2
"237",2,"Washington, Pullman","bioc_16","SSP126","2041-2060",218.7
"238",2,"Washington, Pullman","bioc_17","SSP126","2041-2060",65
"239",2,"Washington, Pullman","bioc_18","SSP126","2041-2060",72.5
"240",2,"Washington, Pullman","bioc_19","SSP126","2041-2060",199.6
"241",2,"Washington, Pullman","bioc_5","SSP126","2061-2080",32.239999961853
"242",2,"Washington, Pullman","bioc_6","SSP126","2061-2080",-2.28000004291534
