ID,variable,emission,year,value
3,tmax,ssp245,2021-2040,17.412500381469727
4,tmax,ssp245,2021-2040,25.012500762939453
5,tmax,ssp245,2021-2040,26.172916412353516
6,tmax,ssp245,2021-2040,27.787500381469727
7,tmax,ssp245,2021-2040,26.285417556762695
8,tmax,ssp245,2021-2040,19.429166793823242
9,tmax,ssp245,2021-2040,28.1875
10,tmax,ssp245,2021-2040,17.47083282470703
11,tmax,ssp245,2021-2040,19.1875
12,tmax,ssp245,2021-2040,24.43958282470703
13,tmax,ssp245,2021-2040,19.597917556762695
14,tmax,ssp245,2021-2040,13.554166793823242
15,tmax,ssp245,2021-2040,24.518749237060547
16,tmax,ssp245,2021-2040,15.733333587646484
17,tmax,ssp245,2021-2040,21.079166412353516
18,tmax,ssp245,2021-2040,21.602083206176758
19,tmax,ssp245,2021-2040,19.272916793823242
20,tmax,ssp245,2021-2040,19.147916793823242
21,tmax,ssp245,2021-2040,32.31458282470703
22,tmax,ssp245,2021-2040,30.78125
23,tmax,ssp245,2021-2040,33.056251525878906
24,tmax,ssp245,2021-2040,25.318750381469727
1,tmin,ssp245,2021-2040,6.847916603088379
2,tmin,ssp245,2021-2040,3.914583444595337
3,tmin,ssp245,2021-2040,2.043750047683716
4,tmin,ssp245,2021-2040,9.716666221618652
5,tmin,ssp245,2021-2040,11.304166793823242
6,tmin,ssp245,2021-2040,11.987500190734863
7,tmin,ssp245,2021-2040,18.65833282470703
8,tmin,ssp245,2021-2040,3.277083396911621
9,tmin,ssp245,2021-2040,15.481249809265137
10,tmin,ssp245,2021-2040,5.412499904632568
11,tmin,ssp245,2021-2040,7.864583492279053
12,tmin,ssp245,2021-2040,12.770833015441895
13,tmin,ssp245,2021-2040,7.733333587646484
14,tmin,ssp245,2021-2040,3.683333396911621
15,tmin,ssp245,2021-2040,11.835416793823242
16,tmin,ssp245,2021-2040,5.3416666984558105
17,tmin,ssp245,2021-2040,9.185416221618652
18,tmin,ssp245,2021-2040,9.864583015441895
19,tmin,ssp245,2021-2040,5.78125
20,tmin,ssp245,2021-2040,5.422916889190674
21,tmin,ssp245,2021-2040,19.741666793823242
22,tmin,ssp245,2021-2040,23.608333587646484
23,tmin,ssp245,2021-2040,15.668749809265137
24,tmin,ssp245,2021-2040,12.720833778381348
1,prec,ssp245,2021-2040,95.60416412353516
2,prec,ssp245,2021-2040,47.22916793823242
3,prec,ssp245,2021-2040,20.54166603088379
4,prec,ssp245,2021-2040,42.125
5,prec,ssp245,2021-2040,24.66666603088379
6,prec,ssp245,2021-2040,27.0625
7,prec,ssp245,2021-2040,208.7708282470703
